序号,刊名,ISSN,分区
288,ACTA INFORMATICA,0001-5903,4区
289,ALGORITHMICA,0178-4617,4区
290,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,0219-6220,4区
291,IEEE Consumer Electronics Magazine,2162-2248,4区
292,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,1387-2532,4区
293,KNOWLEDGE AND INFORMATION SYSTEMS,0219-1377,4区
294,IET Control Theory and Applications,1751-8644,4区
295,MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,0960-1295,4区
296,CMC-Computers Materials & Continua,1546-2218,4区
297,MULTIMEDIA SYSTEMS,0942-4962,4区
298,International Journal on Document Analysis and Recognition,1433-2833,4区
299,SOFTWARE QUALITY JOURNAL,0963-9314,4区
300,COMPUTER GRAPHICS FORUM,0167-7055,4区
301,RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,0988-3754,4区
302,ACM Transactions on Privacy and Security,2471-2566,4区
303,WIRELESS NETWORKS,1022-0038,4区
304,ACM Transactions on Internet Technology,1533-5399,4区
305,ACM Journal on Computing and Cultural Heritage,1556-4673,4区
306,ASIAN JOURNAL OF CONTROL,1561-8625,4区
307,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,0925-7721,4区
308,International Journal of Bio-Inspired Computation,1758-0366,4区
309,Theory of Computing,1557-2862,4区
310,Universal Access in the Information Society,1615-5289,4区
311,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,4区
312,INTERNATIONAL JOURNAL OF CONTROL,0020-7179,4区
313,NETWORKS,0028-3045,4区
314,MULTIMEDIA TOOLS AND APPLICATIONS,1380-7501,4区
315,PHOTONIC NETWORK COMMUNICATIONS,1387-974X,4区
316,IEEE SOFTWARE,0740-7459,4区
317,ACM Transactions on Sensor Networks,1550-4859,4区
318,JOURNAL OF HEURISTICS,1381-1231,4区
319,International Journal of Multimedia Information Retrieval,2192-6611,4区
320,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,0885-7458,4区
321,Peer-to-Peer Networking and Applications,1936-6442,4区
322,Language Resources and Evaluation,1574-020X,4区
323,IEEE Embedded Systems Letters,1943-0663,4区
324,IEEE INTERNET COMPUTING,1089-7801,4区
325,ASSEMBLY AUTOMATION,0144-5154,4区
326,THEORETICAL COMPUTER SCIENCE,0304-3975,4区
327,Journal of Software-Evolution and Process,2047-7473,4区
328,MACHINE VISION AND APPLICATIONS,0932-8092,4区
329,SoftwareX,2352-7110,4区
330,DATA & KNOWLEDGE ENGINEERING,0169-023X,4区
331,APPLIED ARTIFICIAL INTELLIGENCE,0883-9514,4区
332,Transactions on Emerging Telecommunications Technologies,2161-3915,4区
333,NEURAL PROCESSING LETTERS,1370-4621,4区
334,MOBILE NETWORKS & APPLICATIONS,1383-469X,4区
335,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,0890-6327,4区
336,INFORMATION AND COMPUTATION,0890-5401,4区
337,Journal of Logic Language and Information,0925-8531,4区
338,PATTERN ANALYSIS AND APPLICATIONS,1433-7541,4区
339,IET Radar Sonar and Navigation,1751-8784,4区
340,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,0018-8646,4区
341,EXPERT SYSTEMS,0266-4720,4区
342,Logica Universalis,1661-8297,4区
343,International Journal of Information Security,1615-5262,4区
344,Big Data,2167-6461,4区
345,COMPUTER AIDED GEOMETRIC DESIGN,0167-8396,4区
346,Entertainment Computing,1875-9521,4区
347,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,0929-5585,4区
348,Physical Communication,1874-4907,4区
349,ADVANCED ROBOTICS,0169-1864,4区
350,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,0020-7721,4区
351,TELECOMMUNICATION SYSTEMS,1018-4864,4区
352,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,0142-3312,4区
353,IET Microwaves Antennas & Propagation,1751-8725,4区
354,JOURNAL OF CRYPTOLOGY,0933-2790,4区
355,INFORMATICA,0868-4952,4区
356,Cluster Computing-The Journal of Networks Software Tools and Applications,1386-7857,4区
357,INFORMATION PROCESSING LETTERS,0020-0190,4区
358,NEURAL COMPUTATION,0899-7667,4区
359,Applied Ontology,1570-5838,4区
360,THEORY OF COMPUTING SYSTEMS,1432-4350,4区
361,Intelligent Service Robotics,1861-2776,4区
362,Evolving Systems,1868-6478,4区
363,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,4区
364,IEEE COMPUTER GRAPHICS AND APPLICATIONS,0272-1716,4区
365,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,4区
366,JOURNAL OF COMPUTER INFORMATION SYSTEMS,0887-4417,4区
367,ACM Transactions on Applied Perception,1544-3558,4区
368,JOURNAL OF LOGIC AND COMPUTATION,0955-792X,4区
369,International Journal of Applied Mathematics and Computer Science,1641-876X,4区
370,Signal Image and Video Processing,1863-1703,4区
371,PeerJ Computer Science,2376-5992,4区
372,GEOINFORMATICA,1384-6175,4区
373,MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,0932-4194,4区
374,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,0952-813X,4区
375,IEEE SECURITY & PRIVACY,1540-7993,4区
376,IEEE MULTIMEDIA,1070-986X,4区
377,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,0924-6703,4区
378,INTELLIGENT AUTOMATION AND SOFT COMPUTING,1079-8587,4区
379,WIRELESS PERSONAL COMMUNICATIONS,0929-6212,4区
380,KYBERNETES,0368-492X,4区
381,EURASIP Journal on Wireless Communications and Networking,1687-1472,4区
382,OPTIMAL CONTROL APPLICATIONS & METHODS,0143-2087,4区
383,ACM Transactions on Interactive Intelligent Systems,2160-6455,4区
